Link,Title,Year,Author,Venue
https://peltiertech.com/broken-y-axis-in-excel-chart/,Broken Y Axis in an Excel Chart,2011,Jon Peltier,Peltier Tech Blog
https://blogs.sas.com/content/graphicallyspeaking/2013/12/29/broken-axis/,Broken Axis,2013,Sanjay Matange,SAS
https://eagereyes.org/basics/baselines,Continuous Values and Baselines,2013,Robert Kosara,eagereyes
http://www.visualisingdata.com/2014/04/the-fine-line-between-confusion-and-deception/,The Fine Line Between Confusion and Deception,2014,Andy Kirk,Visualising Data
https://junkcharts.typepad.com/junk_charts/2014/04/when-to-use-the-start-at-zero-rule-.html,When to use the start-at-zero rule,2014,Kaiser Fung,Junk Charts
https://qz.com/418083/its-ok-not-to-start-your-y-axis-at-zero/,It's OK not to start your y-axis at zero,2015,David Yanofsky,Quartz
https://www.youtube.com/watch?v=14VYnFhBKcY,Shut up about the y-axis. It shouldn't always start at zero.,2015,Johnny Harris and Matt Yglesias,Vox
https://flowingdata.com/2015/08/31/bar-chart-baselines-start-at-zero/,Bar Chart Baselines Start at Zero,2015,Nathan Yau,Flowing Data
https://eagereyes.org/blog/2016/3d-bar-charts-considered-not-that-harmful,3D Bar Charts Considered Not That Harmful,2016,Robert Kosara,eagereyes
https://callingbullshit.org/tools/tools_misleading_axes.html,Misleading axes on graphs,2017,Carl Bergstrom and Jevin West,Calling Bullshit
https://stephanieevergreen.com/y-axis/,Where to Start and End Your Y-Axis Scale,2017,Stephanie Evergreen,Evergreen Data
https://www.huffpost.com/entry/lie-with-data-visualization_b_5169715,How to Lie With Data Visualization,2017,Ravi Parikh,Huffington Post
https://www.chezvoila.com/blog/yaxis,A golden ratio for line charts with truncated y-axis,2018,Francis Gagnon,Voilà: Information Design
http://www.chadskelton.com/2018/06/bar-charts-should-always-start-at-zero.html,Bar charts should always start at zero. But what about line charts?,2018,Chad Skelton,Chad Skelton: Telling stories with data
http://interactions.acm.org/archive/view/july-august-2018/the-good-the-bad-and-the-biased,"The Good, the Bad, and the Biased: Five Ways Visualizations can Mislead (and How to Fix Them)",2018,Danielle Szafir,ACM Interactions
https://medium.economist.com/mistakes-weve-drawn-a-few-8cdd8a42d368,"Mistakes, we’ve drawn a few",2019,Sarah Leo,The Economist
https://medium.com/data-visualization-society/tear-up-your-baseline-b6b68a2a60f1,Tear Up Your Baseline,2019,RJ Andrews,Data Visualization Society
https://en.wikipedia.org/wiki/Misleading_graph,Misleading Graph,2019,Wikipedia contributers,Wikipedia
