visType,labelType,framing,dataSize,truncationLevel,trendDirection,slope,id,index,training,rt,timestamp,qTrend,qSeverity,correct,firstX,lastX,x0,x1,x2
bar,none,values,3,0,-1,0.125,576d975d8445140001a36bf8,1,1,21517,Thu Feb 28 2019 18:08:13 GMT 0000 (Greenwich Mean Time),-1,1,1,1,0.916666667,1,0.966585625,0.916666667
line,none,values,3,0.5,1,0.125,576d975d8445140001a36bf8,2,1,8107,Thu Feb 28 2019 18:08:23 GMT 0000 (Greenwich Mean Time),1,4,1,0.55,0.633333333,0.55,0.584895852,0.633333333
bar,none,trend,2,0.5,1,0.25,576d975d8445140001a36bf8,3,1,9838,Thu Feb 28 2019 18:08:36 GMT 0000 (Greenwich Mean Time),1,4,1,0.55,0.675,0.55,0.675,
bar,none,values,2,0,-1,0.25,576d975d8445140001a36bf8,4,1,7132,Thu Feb 28 2019 18:08:45 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.875,1,0.875,
line,none,trend,2,0.5,-1,0.25,576d975d8445140001a36bf8,5,1,9806,Thu Feb 28 2019 18:08:56 GMT 0000 (Greenwich Mean Time),-1,4,1,1,0.875,1,0.875,
bar,none,values,2,0,1,0.125,576d975d8445140001a36bf8,6,1,7131,Thu Feb 28 2019 18:09:05 GMT 0000 (Greenwich Mean Time),1,1,1,0.55,0.6125,0.55,0.6125,
line,none,trend,2,0,-1,0.25,576d975d8445140001a36bf8,7,1,6628,Thu Feb 28 2019 18:09:14 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.875,1,0.875,
line,none,values,3,0.5,1,0.125,576d975d8445140001a36bf8,8,1,5402,Thu Feb 28 2019 18:09:20 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.633333333,0.55,0.584694681,0.633333333
line,none,trend,2,0.25,-1,0.25,576d975d8445140001a36bf8,9,,5751,Thu Feb 28 2019 18:09:27 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.875,1,0.875,
line,none,trend,2,0.25,1,0.125,576d975d8445140001a36bf8,10,,5428,Thu Feb 28 2019 18:09:33 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.6125,0.55,0.6125,
line,none,values,3,0.5,1,0.125,576d975d8445140001a36bf8,11,,5073,Thu Feb 28 2019 18:09:39 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.633333333,0.55,0.594156146,0.633333333
bar,none,trend,3,0.25,1,0.25,576d975d8445140001a36bf8,12,,8265,Thu Feb 28 2019 18:09:49 GMT 0000 (Greenwich Mean Time),1,4,1,0.55,0.716666667,0.55,0.61916503,0.716666667
line,none,values,3,0.5,-1,0.25,576d975d8445140001a36bf8,13,,6007,Thu Feb 28 2019 18:09:56 GMT 0000 (Greenwich Mean Time),-1,5,1,1,0.833333333,1,0.904416687,0.833333333
line,none,trend,2,0,-1,0.25,576d975d8445140001a36bf8,14,,5136,Thu Feb 28 2019 18:10:03 GMT 0000 (Greenwich Mean Time),-1,2,1,1,0.875,1,0.875,
bar,none,trend,3,0,1,0.125,576d975d8445140001a36bf8,15,,4147,Thu Feb 28 2019 18:10:08 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.633333333,0.55,0.591342955,0.633333333
bar,none,values,2,0,-1,0.25,576d975d8445140001a36bf8,16,,10739,Thu Feb 28 2019 18:10:20 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.875,1,0.875,
bar,none,values,2,0,1,0.125,576d975d8445140001a36bf8,17,,5362,Thu Feb 28 2019 18:10:36 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.6125,0.55,0.6125,
bar,none,trend,3,0.5,-1,0.25,576d975d8445140001a36bf8,18,,6886,Thu Feb 28 2019 18:10:44 GMT 0000 (Greenwich Mean Time),-1,4,1,1,0.833333333,1,0.93201102,0.833333333
bar,none,trend,2,0.25,1,0.25,576d975d8445140001a36bf8,19,,6917,Thu Feb 28 2019 18:10:52 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.675,0.55,0.675,
line,none,trend,3,0.5,-1,0.125,576d975d8445140001a36bf8,20,,5836,Thu Feb 28 2019 18:10:59 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.916666667,1,0.964584405,0.916666667
line,none,values,2,0.5,1,0.125,576d975d8445140001a36bf8,21,,4151,Thu Feb 28 2019 18:11:04 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.6125,0.55,0.6125,
line,none,trend,3,0.25,1,0.125,576d975d8445140001a36bf8,22,,5248,Thu Feb 28 2019 18:11:10 GMT 0000 (Greenwich Mean Time),1,1,1,0.55,0.633333333,0.55,0.583559473,0.633333333
bar,none,trend,2,0,1,0.125,576d975d8445140001a36bf8,23,,4878,Thu Feb 28 2019 18:11:16 GMT 0000 (Greenwich Mean Time),1,1,1,0.55,0.6125,0.55,0.6125,
line,none,values,3,0.25,1,0.125,576d975d8445140001a36bf8,24,,7458,Thu Feb 28 2019 18:11:25 GMT 0000 (Greenwich Mean Time),1,1,1,0.55,0.633333333,0.55,0.597465136,0.633333333
line,none,values,2,0.5,-1,0.25,576d975d8445140001a36bf8,25,,7582,Thu Feb 28 2019 18:11:34 GMT 0000 (Greenwich Mean Time),-1,5,1,1,0.875,1,0.875,
bar,none,values,3,0.5,1,0.125,576d975d8445140001a36bf8,26,,6356,Thu Feb 28 2019 18:11:42 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.633333333,0.55,0.586798386,0.633333333
line,none,values,3,0.25,1,0.25,576d975d8445140001a36bf8,27,,5217,Thu Feb 28 2019 18:11:48 GMT 0000 (Greenwich Mean Time),1,4,1,0.55,0.716666667,0.55,0.630786361,0.716666667
bar,none,trend,2,0.5,1,0.25,576d975d8445140001a36bf8,28,,5819,Thu Feb 28 2019 18:11:55 GMT 0000 (Greenwich Mean Time),1,5,1,0.55,0.675,0.55,0.675,
bar,none,trend,3,0.5,1,0.125,576d975d8445140001a36bf8,29,,6587,Thu Feb 28 2019 18:12:03 GMT 0000 (Greenwich Mean Time),1,4,1,0.55,0.633333333,0.55,0.588828694,0.633333333
line,none,trend,3,0,1,0.25,576d975d8445140001a36bf8,30,,3621,Thu Feb 28 2019 18:12:08 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.716666667,0.55,0.641571192,0.716666667
bar,none,trend,2,0.25,1,0.125,576d975d8445140001a36bf8,31,,4688,Thu Feb 28 2019 18:12:13 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.6125,0.55,0.6125,
bar,none,values,2,0.5,1,0.125,576d975d8445140001a36bf8,32,,7319,Thu Feb 28 2019 18:12:22 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.6125,0.55,0.6125,
bar,none,trend,3,0.25,1,0.125,576d975d8445140001a36bf8,33,,6094,Thu Feb 28 2019 18:12:29 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.633333333,0.55,0.599725281,0.633333333
line,none,values,3,0,-1,0.25,576d975d8445140001a36bf8,34,,6492,Thu Feb 28 2019 18:12:37 GMT 0000 (Greenwich Mean Time),-1,2,1,1,0.833333333,1,0.910480496,0.833333333
bar,none,values,3,0.25,1,0.125,576d975d8445140001a36bf8,35,,6071,Thu Feb 28 2019 18:12:44 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.633333333,0.55,0.581462366,0.633333333
line,none,trend,3,0.5,1,0.25,576d975d8445140001a36bf8,36,,5862,Thu Feb 28 2019 18:12:52 GMT 0000 (Greenwich Mean Time),1,4,1,0.55,0.716666667,0.55,0.626651379,0.716666667
bar,none,values,2,0.25,-1,0.25,576d975d8445140001a36bf8,37,,8837,Thu Feb 28 2019 18:13:02 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.875,1,0.875,
line,none,trend,2,0.5,1,0.125,576d975d8445140001a36bf8,38,,7088,Thu Feb 28 2019 18:13:10 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.6125,0.55,0.6125,
line,none,trend,3,0.25,-1,0.25,576d975d8445140001a36bf8,39,,8549,Thu Feb 28 2019 18:13:20 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.833333333,1,0.90036637,0.833333333
bar,none,values,2,0.25,1,0.125,576d975d8445140001a36bf8,40,,7612,Thu Feb 28 2019 18:13:29 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.6125,0.55,0.6125,
bar,none,values,3,0,-1,0.125,576d975d8445140001a36bf8,41,,6575,Thu Feb 28 2019 18:13:37 GMT 0000 (Greenwich Mean Time),-1,2,1,1,0.916666667,1,0.949893875,0.916666667
line,none,trend,3,0,1,0.125,576d975d8445140001a36bf8,42,,3855,Thu Feb 28 2019 18:13:42 GMT 0000 (Greenwich Mean Time),1,1,1,0.55,0.633333333,0.55,0.583582645,0.633333333
line,none,trend,2,0,-1,0.125,576d975d8445140001a36bf8,43,,4050,Thu Feb 28 2019 18:13:47 GMT 0000 (Greenwich Mean Time),-1,1,1,1,0.9375,1,0.9375,
bar,none,values,2,0.5,-1,0.25,576d975d8445140001a36bf8,44,,9802,Thu Feb 28 2019 18:13:58 GMT 0000 (Greenwich Mean Time),-1,4,1,1,0.875,1,0.875,
bar,none,trend,2,0.5,1,0.125,576d975d8445140001a36bf8,45,,5312,Thu Feb 28 2019 18:14:04 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.6125,0.55,0.6125,
bar,none,trend,3,0,-1,0.25,576d975d8445140001a36bf8,46,,4855,Thu Feb 28 2019 18:14:10 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.833333333,1,0.911361341,0.833333333
line,none,values,2,0,1,0.125,576d975d8445140001a36bf8,47,,5438,Thu Feb 28 2019 18:14:17 GMT 0000 (Greenwich Mean Time),1,1,1,0.55,0.6125,0.55,0.6125,
line,none,values,3,0,-1,0.125,576d975d8445140001a36bf8,48,,5921,Thu Feb 28 2019 18:14:24 GMT 0000 (Greenwich Mean Time),-1,1,1,1,0.916666667,1,0.964356235,0.916666667
bar,none,values,3,0.25,1,0.25,576d975d8445140001a36bf8,49,,6836,Thu Feb 28 2019 18:14:32 GMT 0000 (Greenwich Mean Time),1,4,1,0.55,0.716666667,0.55,0.624586915,0.716666667
bar,none,trend,2,0,-1,0.25,576d975d8445140001a36bf8,50,,6078,Thu Feb 28 2019 18:14:39 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.875,1,0.875,
line,none,values,2,0.25,1,0.125,576d975d8445140001a36bf8,51,,5788,Thu Feb 28 2019 18:14:46 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.6125,0.55,0.6125,
line,none,trend,2,0.5,-1,0.25,576d975d8445140001a36bf8,52,,5173,Thu Feb 28 2019 18:14:52 GMT 0000 (Greenwich Mean Time),-1,5,1,1,0.875,1,0.875,
bar,none,values,3,0.5,1,0.25,576d975d8445140001a36bf8,53,,6494,Thu Feb 28 2019 18:14:59 GMT 0000 (Greenwich Mean Time),1,4,1,0.55,0.716666667,0.55,0.639079934,0.716666667
bar,none,values,3,0,1,0.25,576d975d8445140001a36bf8,54,,27307,Thu Feb 28 2019 18:15:28 GMT 0000 (Greenwich Mean Time),1,4,1,0.55,0.716666667,0.55,0.646199347,0.716666667
line,none,values,2,0,1,0.25,576d975d8445140001a36bf8,55,,5367,Thu Feb 28 2019 18:15:34 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.675,0.55,0.675,
line,none,values,2,0.25,-1,0.25,576d975d8445140001a36bf8,56,,7954,Thu Feb 28 2019 18:15:43 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.875,1,0.875,
bar,none,values,2,0,1,0.125,5910f51967706b0001db3af7,1,1,29998,Thu Feb 28 2019 12:23:49 GMT-0600 (Central Standard Time),1,3,1,0.55,0.6125,0.55,0.6125,
line,none,values,2,0,-1,0.125,5910f51967706b0001db3af7,2,1,14790,Thu Feb 28 2019 12:24:07 GMT-0600 (Central Standard Time),-1,3,1,1,0.9375,1,0.9375,
bar,none,trend,3,0,1,0.25,5910f51967706b0001db3af7,3,1,9860,Thu Feb 28 2019 12:24:19 GMT-0600 (Central Standard Time),1,4,1,0.55,0.716666667,0.55,0.613915992,0.716666667
bar,none,values,2,0.5,1,0.25,5910f51967706b0001db3af7,4,1,7065,Thu Feb 28 2019 12:24:33 GMT-0600 (Central Standard Time),1,5,1,0.55,0.675,0.55,0.675,
bar,none,trend,3,0,-1,0.25,5910f51967706b0001db3af7,5,1,7074,Thu Feb 28 2019 12:24:41 GMT-0600 (Central Standard Time),-1,3,1,1,0.833333333,1,0.927586062,0.833333333
line,none,trend,2,0.5,-1,0.125,5910f51967706b0001db3af7,6,1,6952,Thu Feb 28 2019 12:24:50 GMT-0600 (Central Standard Time),-1,4,1,1,0.9375,1,0.9375,
line,none,values,3,0.5,1,0.125,5910f51967706b0001db3af7,7,1,9266,Thu Feb 28 2019 12:25:01 GMT-0600 (Central Standard Time),1,4,1,0.55,0.633333333,0.55,0.600022928,0.633333333
bar,none,trend,2,0.5,-1,0.25,5910f51967706b0001db3af7,8,1,4400,Thu Feb 28 2019 12:25:06 GMT-0600 (Central Standard Time),-1,5,1,1,0.875,1,0.875,
bar,none,trend,2,0.25,-1,0.25,5910f51967706b0001db3af7,9,,5296,Thu Feb 28 2019 12:25:20 GMT-0600 (Central Standard Time),-1,4,1,1,0.875,1,0.875,
bar,none,trend,3,0.25,-1,0.25,5910f51967706b0001db3af7,10,,5069,Thu Feb 28 2019 12:25:26 GMT-0600 (Central Standard Time),-1,3,1,1,0.833333333,1,0.912685187,0.833333333
line,none,trend,2,0,1,0.25,5910f51967706b0001db3af7,11,,5576,Thu Feb 28 2019 12:25:33 GMT-0600 (Central Standard Time),1,5,1,0.55,0.675,0.55,0.675,
line,none,values,3,0,-1,0.25,5910f51967706b0001db3af7,12,,8798,Thu Feb 28 2019 12:25:43 GMT-0600 (Central Standard Time),-1,4,1,1,0.833333333,1,0.910557876,0.833333333
bar,none,values,2,0.25,1,0.25,5910f51967706b0001db3af7,13,,6474,Thu Feb 28 2019 12:25:51 GMT-0600 (Central Standard Time),1,4,1,0.55,0.675,0.55,0.675,
line,none,trend,3,0,1,0.25,5910f51967706b0001db3af7,14,,7434,Thu Feb 28 2019 12:26:00 GMT-0600 (Central Standard Time),1,4,1,0.55,0.716666667,0.55,0.639547195,0.716666667
line,none,values,2,0.5,1,0.125,5910f51967706b0001db3af7,15,,5290,Thu Feb 28 2019 12:26:06 GMT-0600 (Central Standard Time),1,3,1,0.55,0.6125,0.55,0.6125,
line,none,values,2,0.25,-1,0.125,5910f51967706b0001db3af7,16,,6812,Thu Feb 28 2019 12:26:14 GMT-0600 (Central Standard Time),-1,3,1,1,0.9375,1,0.9375,
