visType,framing,dataSize,truncationLevel,trendDirection,slope,id,index,training,rt,timestamp,qTrend,qSeverity,correct,firstX,lastX,x0,x1,x2
bottomgradbar,trend,2,0,1,0.25,565a3d24c51d430005875042,1,1,22824,Thu Mar 14 2019 08:44:49 GMT-0600 (Mountain Daylight Time),1,2,1,0.55,0.675,0.55,0.675,
brokenbar,trend,2,0,1,0.125,565a3d24c51d430005875042,2,1,6302,Thu Mar 14 2019 08:44:58 GMT-0600 (Mountain Daylight Time),1,1,1,0.55,0.6125,0.55,0.6125,
brokenbar,trend,2,0.5,1,0.125,565a3d24c51d430005875042,3,1,16025,Thu Mar 14 2019 08:45:17 GMT-0600 (Mountain Daylight Time),1,3,1,0.55,0.6125,0.55,0.6125,
brokenbar,trend,3,0,-1,0.125,565a3d24c51d430005875042,4,1,5853,Thu Mar 14 2019 08:45:26 GMT-0600 (Mountain Daylight Time),-1,2,1,1,0.916666667,1,0.953482671,0.916666667
brokenbar,trend,2,0.5,1,0.25,565a3d24c51d430005875042,5,1,8061,Thu Mar 14 2019 08:45:36 GMT-0600 (Mountain Daylight Time),1,4,1,0.55,0.675,0.55,0.675,
brokenbar,trend,2,0.5,-1,0.25,565a3d24c51d430005875042,6,1,7596,Thu Mar 14 2019 08:45:45 GMT-0600 (Mountain Daylight Time),-1,3,1,1,0.875,1,0.875,
bar,trend,3,0.5,-1,0.125,565a3d24c51d430005875042,7,1,3396,Thu Mar 14 2019 08:45:50 GMT-0600 (Mountain Daylight Time),-1,2,1,1,0.916666667,1,0.958286105,0.916666667
brokenbar,trend,2,0,1,0.25,565a3d24c51d430005875042,8,1,4483,Thu Mar 14 2019 08:45:56 GMT-0600 (Mountain Daylight Time),1,2,1,0.55,0.675,0.55,0.675,
bar,trend,2,0.5,-1,0.25,565a3d24c51d430005875042,9,,3810,Thu Mar 14 2019 08:46:01 GMT-0600 (Mountain Daylight Time),-1,3,1,1,0.875,1,0.875,
bottomgradbar,trend,2,0.25,1,0.25,565a3d24c51d430005875042,10,,7304,Thu Mar 14 2019 08:46:09 GMT-0600 (Mountain Daylight Time),-1,2,0,0.55,0.675,0.55,0.675,
bar,trend,3,0,-1,0.25,565a3d24c51d430005875042,11,,4597,Thu Mar 14 2019 08:46:15 GMT-0600 (Mountain Daylight Time),-1,2,1,1,0.833333333,1,0.89900244,0.833333333
bar,trend,2,0,-1,0.125,565a3d24c51d430005875042,12,,4058,Thu Mar 14 2019 08:46:20 GMT-0600 (Mountain Daylight Time),-1,1,1,1,0.9375,1,0.9375,
bar,trend,2,0.25,1,0.125,565a3d24c51d430005875042,13,,3834,Thu Mar 14 2019 08:46:24 GMT-0600 (Mountain Daylight Time),1,1,1,0.55,0.6125,0.55,0.6125,
bar,trend,3,0.25,-1,0.125,565a3d24c51d430005875042,14,,3586,Thu Mar 14 2019 08:46:29 GMT-0600 (Mountain Daylight Time),-1,1,1,1,0.916666667,1,0.957790528,0.916666667
bar,trend,2,0.5,1,0.125,565a3d24c51d430005875042,15,,7753,Thu Mar 14 2019 08:46:38 GMT-0600 (Mountain Daylight Time),1,1,1,0.55,0.6125,0.55,0.6125,
brokenbar,trend,3,0.5,1,0.25,565a3d24c51d430005875042,16,,7941,Thu Mar 14 2019 08:46:47 GMT-0600 (Mountain Daylight Time),1,3,1,0.55,0.716666667,0.55,0.62897987,0.716666667
brokenbar,trend,2,0,1,0.125,565a3d24c51d430005875042,17,,6329,Thu Mar 14 2019 08:46:54 GMT-0600 (Mountain Daylight Time),1,1,1,0.55,0.6125,0.55,0.6125,
bottomgradbar,trend,3,0,-1,0.25,565a3d24c51d430005875042,18,,4351,Thu Mar 14 2019 08:46:59 GMT-0600 (Mountain Daylight Time),-1,1,1,1,0.833333333,1,0.915283829,0.833333333
bottomgradbar,trend,3,0,1,0.125,565a3d24c51d430005875042,19,,4188,Thu Mar 14 2019 08:47:04 GMT-0600 (Mountain Daylight Time),1,1,1,0.55,0.633333333,0.55,0.58732971,0.633333333
bottomgradbar,trend,3,0.5,1,0.125,565a3d24c51d430005875042,20,,8477,Thu Mar 14 2019 08:47:14 GMT-0600 (Mountain Daylight Time),1,3,1,0.55,0.633333333,0.55,0.594322227,0.633333333
bottomgradbar,trend,3,0.25,-1,0.25,565a3d24c51d430005875042,21,,14291,Thu Mar 14 2019 08:47:29 GMT-0600 (Mountain Daylight Time),-1,3,1,1,0.833333333,1,0.902133022,0.833333333
bottomgradbar,trend,2,0,-1,0.125,565a3d24c51d430005875042,22,,4973,Thu Mar 14 2019 08:47:35 GMT-0600 (Mountain Daylight Time),-1,1,1,1,0.9375,1,0.9375,
bar,trend,3,0.5,1,0.25,565a3d24c51d430005875042,23,,6545,Thu Mar 14 2019 08:47:43 GMT-0600 (Mountain Daylight Time),1,5,1,0.55,0.716666667,0.55,0.632460615,0.716666667
bottomgradbar,trend,2,0,-1,0.25,565a3d24c51d430005875042,24,,7911,Thu Mar 14 2019 08:47:51 GMT-0600 (Mountain Daylight Time),-1,1,1,1,0.875,1,0.875,
bar,trend,2,0,1,0.25,565a3d24c51d430005875042,25,,5656,Thu Mar 14 2019 08:47:58 GMT-0600 (Mountain Daylight Time),1,2,1,0.55,0.675,0.55,0.675,
bottomgradbar,trend,3,0.5,1,0.25,565a3d24c51d430005875042,26,,5628,Thu Mar 14 2019 08:48:04 GMT-0600 (Mountain Daylight Time),1,3,1,0.55,0.716666667,0.55,0.648658003,0.716666667
brokenbar,trend,3,0.5,1,0.125,565a3d24c51d430005875042,27,,5458,Thu Mar 14 2019 08:48:11 GMT-0600 (Mountain Daylight Time),1,2,1,0.55,0.633333333,0.55,0.582133049,0.633333333
brokenbar,trend,2,0.5,1,0.25,565a3d24c51d430005875042,28,,5198,Thu Mar 14 2019 08:48:17 GMT-0600 (Mountain Daylight Time),1,4,1,0.55,0.675,0.55,0.675,
brokenbar,trend,2,0.25,1,0.25,565a3d24c51d430005875042,29,,8197,Thu Mar 14 2019 08:48:27 GMT-0600 (Mountain Daylight Time),1,2,1,0.55,0.675,0.55,0.675,
bar,trend,3,0.5,-1,0.125,565a3d24c51d430005875042,30,,5154,Thu Mar 14 2019 08:48:33 GMT-0600 (Mountain Daylight Time),-1,1,1,1,0.916666667,1,0.959421993,0.916666667
bottomgradbar,trend,2,0.5,-1,0.25,565a3d24c51d430005875042,31,,8063,Thu Mar 14 2019 08:48:42 GMT-0600 (Mountain Daylight Time),-1,3,1,1,0.875,1,0.875,
bottomgradbar,trend,2,0.25,-1,0.125,565a3d24c51d430005875042,32,,5889,Thu Mar 14 2019 08:48:49 GMT-0600 (Mountain Daylight Time),-1,2,1,1,0.9375,1,0.9375,
bar,trend,2,0.25,-1,0.25,565a3d24c51d430005875042,33,,4332,Thu Mar 14 2019 08:48:54 GMT-0600 (Mountain Daylight Time),-1,2,1,1,0.875,1,0.875,
brokenbar,trend,2,0.5,-1,0.125,565a3d24c51d430005875042,34,,7797,Thu Mar 14 2019 08:49:03 GMT-0600 (Mountain Daylight Time),-1,3,1,1,0.9375,1,0.9375,
brokenbar,trend,2,0.25,-1,0.125,565a3d24c51d430005875042,35,,3549,Thu Mar 14 2019 08:49:07 GMT-0600 (Mountain Daylight Time),-1,2,1,1,0.9375,1,0.9375,
brokenbar,trend,2,0,1,0.25,565a3d24c51d430005875042,36,,7392,Thu Mar 14 2019 08:49:16 GMT-0600 (Mountain Daylight Time),1,3,1,0.55,0.675,0.55,0.675,
brokenbar,trend,3,0.25,1,0.125,565a3d24c51d430005875042,37,,5990,Thu Mar 14 2019 08:49:23 GMT-0600 (Mountain Daylight Time),1,3,1,0.55,0.633333333,0.55,0.586461288,0.633333333
brokenbar,trend,3,0,-1,0.125,565a3d24c51d430005875042,38,,6180,Thu Mar 14 2019 08:49:30 GMT-0600 (Mountain Daylight Time),-1,1,1,1,0.916666667,1,0.967719625,0.916666667
bottomgradbar,trend,3,0.25,1,0.125,565a3d24c51d430005875042,39,,6955,Thu Mar 14 2019 08:49:38 GMT-0600 (Mountain Daylight Time),1,2,1,0.55,0.633333333,0.55,0.595872875,0.633333333
bar,trend,3,0.25,-1,0.25,565a3d24c51d430005875042,40,,3550,Thu Mar 14 2019 08:49:42 GMT-0600 (Mountain Daylight Time),-1,3,1,1,0.833333333,1,0.918908306,0.833333333
brokenbar,trend,3,0.25,1,0.25,565a3d24c51d430005875042,41,,5852,Thu Mar 14 2019 08:49:49 GMT-0600 (Mountain Daylight Time),1,4,1,0.55,0.716666667,0.55,0.648464478,0.716666667
bar,trend,3,0,-1,0.125,565a3d24c51d430005875042,42,,3249,Thu Mar 14 2019 08:49:53 GMT-0600 (Mountain Daylight Time),-1,1,1,1,0.916666667,1,0.949991056,0.916666667
brokenbar,trend,3,0,1,0.25,565a3d24c51d430005875042,43,,5800,Thu Mar 14 2019 08:49:59 GMT-0600 (Mountain Daylight Time),1,3,1,0.55,0.716666667,0.55,0.639910143,0.716666667
bottomgradbar,trend,2,0.5,1,0.125,565a3d24c51d430005875042,44,,7376,Thu Mar 14 2019 08:50:08 GMT-0600 (Mountain Daylight Time),1,2,1,0.55,0.6125,0.55,0.6125,
brokenbar,trend,3,0.5,-1,0.125,571b99e55d40840011c3de5f,1,1,32561,Thu Mar 14 2019 10:28:33 GMT-0400 (Eastern Daylight Time),-1,3,1,1,0.916666667,1,0.967862759,0.916666667
bottomgradbar,trend,3,0.5,-1,0.125,571b99e55d40840011c3de5f,2,1,18274,Thu Mar 14 2019 10:28:54 GMT-0400 (Eastern Daylight Time),-1,3,1,1,0.916666667,1,0.961045637,0.916666667
