visType,labelType,framing,dataSize,truncationLevel,trendDirection,slope,id,index,training,rt,timestamp,qTrend,qSeverity,qFirst,qLast,correct,firstX,lastX,exp,x0,x1,x2
brokenbar,none,trend,3,0.5,1,0.125,56d2adc4321cae000b68d65f,1,1,22401,Wed Jul 17 2019 18:41:19 GMT-0400 (Eastern Daylight Time),1,1,0.55,0.65,1,0.55,0.633333333,exp3,0.55,0.588855421,0.633333333
bar,none,trend,3,0,-1,0.125,56d2adc4321cae000b68d65f,2,1,9622,Wed Jul 17 2019 18:41:30 GMT-0400 (Eastern Daylight Time),-1,1,0.99,0.97,1,1,0.916666667,exp3,1,0.95224606,0.916666667
brokenbar,none,trend,3,0,1,0.125,56d2adc4321cae000b68d65f,3,1,11100,Wed Jul 17 2019 18:41:43 GMT-0400 (Eastern Daylight Time),1,2,0.5,0.6,1,0.55,0.633333333,exp3,0.55,0.600996937,0.633333333
brokenbar,none,trend,3,0,-1,0.25,56d2adc4321cae000b68d65f,4,1,10911,Wed Jul 17 2019 18:41:56 GMT-0400 (Eastern Daylight Time),-1,2,1,0.85,1,1,0.833333333,exp3,1,0.914302902,0.833333333
brokenbar,none,trend,2,0.5,-1,0.25,56d2adc4321cae000b68d65f,5,1,10023,Wed Jul 17 2019 18:42:09 GMT-0400 (Eastern Daylight Time),-1,2,1,0.8,1,1,0.875,exp3,1,0.875,
bottomgradbar,none,trend,2,0,1,0.25,56d2adc4321cae000b68d65f,6,1,12033,Wed Jul 17 2019 18:42:22 GMT-0400 (Eastern Daylight Time),1,2,0.5,0.7,1,0.55,0.675,exp3,0.55,0.675,
bar,none,trend,2,0.5,-1,0.125,56d2adc4321cae000b68d65f,7,1,6422,Wed Jul 17 2019 18:42:31 GMT-0400 (Eastern Daylight Time),-1,2,1,0.85,1,1,0.9375,exp3,1,0.9375,
brokenbar,none,trend,3,0.5,1,0.25,56d2adc4321cae000b68d65f,8,1,10333,Wed Jul 17 2019 18:42:44 GMT-0400 (Eastern Daylight Time),1,2,0.6,0.75,1,0.55,0.716666667,exp3,0.55,0.632123871,0.716666667
bar,none,trend,3,0.5,-1,0.25,56d2adc4321cae000b68d65f,9,,9161,Wed Jul 17 2019 18:42:54 GMT-0400 (Eastern Daylight Time),-1,3,1,0.8,1,1,0.833333333,exp3,1,0.93096579,0.833333333
bar,none,trend,2,0.25,1,0.125,56d2adc4321cae000b68d65f,10,,13162,Wed Jul 17 2019 18:43:08 GMT-0400 (Eastern Daylight Time),1,1,0.4,0.5,1,0.55,0.6125,exp3,0.55,0.6125,
brokenbar,none,trend,2,0.5,-1,0.125,56d2adc4321cae000b68d65f,11,,8666,Wed Jul 17 2019 18:43:19 GMT-0400 (Eastern Daylight Time),-1,2,1,0.85,1,1,0.9375,exp3,1,0.9375,
bottomgradbar,none,trend,3,0,1,0.25,56d2adc4321cae000b68d65f,12,,8776,Wed Jul 17 2019 18:43:29 GMT-0400 (Eastern Daylight Time),1,3,0.5,0.7,1,0.55,0.716666667,exp3,0.55,0.646108203,0.716666667
brokenbar,none,trend,3,0,1,0.125,56d2adc4321cae000b68d65f,13,,7436,Wed Jul 17 2019 18:43:37 GMT-0400 (Eastern Daylight Time),1,2,0.5,0.6,1,0.55,0.633333333,exp3,0.55,0.598049126,0.633333333
bar,none,trend,2,0.25,-1,0.25,56d2adc4321cae000b68d65f,14,,8488,Wed Jul 17 2019 18:43:48 GMT-0400 (Eastern Daylight Time),-1,2,1,0.85,1,1,0.875,exp3,1,0.875,
brokenbar,none,trend,2,0.25,-1,0.125,56d2adc4321cae000b68d65f,15,,10146,Wed Jul 17 2019 18:43:59 GMT-0400 (Eastern Daylight Time),-1,2,1,0.9,1,1,0.9375,exp3,1,0.9375,
bar,none,trend,3,0.5,1,0.125,56d2adc4321cae000b68d65f,16,,6740,Wed Jul 17 2019 18:44:07 GMT-0400 (Eastern Daylight Time),1,2,0.55,0.7,1,0.55,0.633333333,exp3,0.55,0.593242983,0.633333333
bar,none,trend,3,0,-1,0.125,56d2adc4321cae000b68d65f,17,,6842,Wed Jul 17 2019 18:44:15 GMT-0400 (Eastern Daylight Time),-1,1,1,0.9,1,1,0.916666667,exp3,1,0.950940725,0.916666667
bottomgradbar,none,trend,3,0.5,-1,0.125,56d2adc4321cae000b68d65f,18,,9936,Wed Jul 17 2019 18:44:28 GMT-0400 (Eastern Daylight Time),-1,2,1,0.85,1,1,0.916666667,exp3,1,0.956753688,0.916666667
bottomgradbar,none,trend,3,0.25,1,0.25,56d2adc4321cae000b68d65f,19,,12463,Wed Jul 17 2019 18:44:41 GMT-0400 (Eastern Daylight Time),1,3,0.4,0.65,1,0.55,0.716666667,exp3,0.55,0.643790708,0.716666667
bar,none,trend,2,0,1,0.25,56d2adc4321cae000b68d65f,20,,9958,Wed Jul 17 2019 18:44:52 GMT-0400 (Eastern Daylight Time),1,2,0.5,0.6,1,0.55,0.675,exp3,0.55,0.675,
bottomgradbar,none,trend,3,0,1,0.125,56d2adc4321cae000b68d65f,21,,11892,Wed Jul 17 2019 18:45:07 GMT-0400 (Eastern Daylight Time),1,1,0.5,0.6,1,0.55,0.633333333,exp3,0.55,0.600766406,0.633333333
bar,none,trend,2,0.5,-1,0.25,56d2adc4321cae000b68d65f,22,,15963,Wed Jul 17 2019 18:45:25 GMT-0400 (Eastern Daylight Time),-1,3,1,0.8,1,1,0.875,exp3,1,0.875,
bar,none,trend,3,0,1,0.25,56d2adc4321cae000b68d65f,23,,8723,Wed Jul 17 2019 18:45:35 GMT-0400 (Eastern Daylight Time),1,2,0.5,0.6,1,0.55,0.716666667,exp3,0.55,0.640160781,0.716666667
brokenbar,none,trend,3,0.5,-1,0.25,56d2adc4321cae000b68d65f,24,,16856,Wed Jul 17 2019 18:45:53 GMT-0400 (Eastern Daylight Time),-1,3,1,0.8,1,1,0.833333333,exp3,1,0.901538443,0.833333333
brokenbar,none,trend,3,0.25,-1,0.125,56d2adc4321cae000b68d65f,25,,8680,Wed Jul 17 2019 18:46:04 GMT-0400 (Eastern Daylight Time),-1,2,1,0.85,1,1,0.916666667,exp3,1,0.955017912,0.916666667
bar,none,trend,3,0.25,-1,0.125,56d2adc4321cae000b68d65f,26,,8619,Wed Jul 17 2019 18:46:15 GMT-0400 (Eastern Daylight Time),-1,1,1,0.9,1,1,0.916666667,exp3,1,0.95951743,0.916666667
bottomgradbar,none,trend,2,0.5,1,0.125,56d2adc4321cae000b68d65f,27,,6237,Wed Jul 17 2019 18:46:23 GMT-0400 (Eastern Daylight Time),1,2,0.55,0.65,1,0.55,0.6125,exp3,0.55,0.6125,
